         43749 function calls (40749 primitive calls) in 2.896 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    2.822    0.037    2.822    0.037 {method 'recv' of '_socket.socket' objects}
      446    0.009    0.000    0.009    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      446    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      223    0.004    0.000    0.008    0.000 __init__.py:282(__init__)
       53    0.003    0.000    0.003    0.000 encoder.py:204(iterencode)
6552/3552    0.003    0.000    0.006    0.000 encoder.py:333(_iterencode_dict)
      669    0.002    0.000    0.012    0.000 __init__.py:595(format)
      223    0.002    0.000    0.002    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
      446    0.002    0.000    0.002    0.000 {built-in method time.localtime}
      669    0.002    0.000    0.002    0.000 __init__.py:421(format)
     3162    0.002    0.000    0.004    0.000 encoder.py:277(_iterencode_list)
      446    0.001    0.000    0.011    0.000 __init__.py:1002(flush)
      446    0.001    0.000    0.023    0.000 __init__.py:1013(emit)
      446    0.001    0.000    0.001    0.000 {built-in method time.strftime}
       76    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
       38    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      446    0.001    0.000    0.037    0.000 __init__.py:881(handle)
      223    0.001    0.000    0.002    0.000 __init__.py:1446(findCaller)
      223    0.001    0.000    0.010    0.000 handlers.py:175(shouldRollover)
     3506    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     3552    0.001    0.000    0.007    0.000 encoder.py:413(_iterencode)
      223    0.001    0.000    0.038    0.000 __init__.py:1570(callHandlers)
      669    0.001    0.000    0.001    0.000 __init__.py:360(getMessage)
       53    0.001    0.000    0.011    0.000 encoder.py:182(encode)
     1179    0.001    0.000    0.001    0.000 server.py:131(display)
      223    0.001    0.000    0.050    0.000 __init__.py:1491(_log)
      893    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       76    0.001    0.000    2.822    0.037 protocol.py:4(recvall)
      892    0.001    0.000    0.001    0.000 __init__.py:838(acquire)
      223    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
      223    0.001    0.000    0.008    0.000 __init__.py:1476(makeRecord)
      446    0.001    0.000    0.004    0.000 __init__.py:528(formatTime)
      132    0.001    0.000    0.031    0.000 __init__.py:1368(info)
      669    0.001    0.000    0.012    0.000 __init__.py:858(format)
      892    0.001    0.000    0.001    0.000 __init__.py:845(release)
      223    0.001    0.000    0.001    0.000 posixpath.py:144(basename)
       63    0.001    0.000    0.002    0.000 server.py:561(update_game_state)
      669    0.001    0.000    0.001    0.000 __init__.py:418(usesTime)
      223    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      223    0.001    0.000    0.026    0.000 handlers.py:61(emit)
      669    0.001    0.000    0.002    0.000 __init__.py:573(usesTime)
       38    0.001    0.000    2.833    0.075 server.py:82(receive_json_from_player)
      669    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      669    0.001    0.000    0.002    0.000 __init__.py:579(formatMessage)
      223    0.000    0.000    0.002    0.000 posixpath.py:121(splitext)
       24    0.000    0.000    1.319    0.055 server.py:202(activate_power)
      669    0.000    0.000    0.000    0.000 __init__.py:736(filter)
      669    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      892    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      223    0.000    0.000    0.038    0.000 __init__.py:1516(handle)
       91    0.000    0.000    0.020    0.000 __init__.py:1356(debug)
       12    0.000    0.000    2.889    0.241 server.py:150(play)
       38    0.000    0.000    0.002    0.000 __init__.py:299(loads)
       38    0.000    0.000    0.014    0.000 server.py:69(send_json_to_player)
       76    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       12    0.000    0.000    0.978    0.081 server.py:399(move)
       63    0.000    0.000    0.001    0.000 server.py:565(<listcomp>)
      223    0.000    0.000    0.001    0.000 posixpath.py:52(normcase)
      223    0.000    0.000    0.016    0.000 __init__.py:1118(emit)
       38    0.000    0.000    2.823    0.074 protocol.py:15(receive_json)
      855    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
       38    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
      223    0.000    0.000    0.000    0.000 threading.py:1226(current_thread)
      669    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       12    0.000    0.000    0.577    0.048 server.py:172(select)
       53    0.000    0.000    0.011    0.000 __init__.py:183(dumps)
       38    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
      223    0.000    0.000    0.000    0.000 __init__.py:154(<lambda>)
      893    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       38    0.000    0.000    0.001    0.000 decoder.py:332(decode)
      537    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      223    0.000    0.000    0.000    0.000 __init__.py:117(getLevelName)
      223    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       63    0.000    0.000    0.001    0.000 server.py:567(<listcomp>)
      103    0.000    0.000    0.000    0.000 server.py:124(__repr__)
      446    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       38    0.000    0.000    0.003    0.000 protocol.py:23(send_json)
      446    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      223    0.000    0.000    0.000    0.000 {built-in method time.time}
      223    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
      223    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       38    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
      223    0.000    0.000    0.000    0.000 threading.py:1064(name)
       38    0.000    0.000    2.847    0.075 server.py:97(ask_question_json)
      114    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       38    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        9    0.000    0.000    0.000    0.000 server.py:553(__repr__)
       62    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      223    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       38    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.000    0.000 server.py:558(<listcomp>)
       38    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      223    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
        3    0.000    0.000    0.001    0.000 server.py:499(lumiere)
       15    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
      207    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      165    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 server.py:569(<listcomp>)
       33    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
        1    0.000    0.000    0.001    0.001 server.py:442(__init__)
        3    0.000    0.000    2.890    0.963 server.py:488(actions)
        3    0.000    0.000    2.894    0.965 server.py:518(tour)
       30    0.000    0.000    0.000    0.000 server.py:500(<setcomp>)
        4    0.000    0.000    0.000    0.000 random.py:264(shuffle)
       76    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       15    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       11    0.000    0.000    0.000    0.000 server.py:405(<setcomp>)
        3    0.000    0.000    0.000    0.000 server.py:500(<listcomp>)
        1    0.000    0.000    2.895    2.895 server.py:531(lancer)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fbff50b29e0}
       16    0.000    0.000    0.000    0.000 server.py:241(<setcomp>)
       53    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       12    0.000    0.000    0.000    0.000 server.py:177(<listcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:412(_real_close)
       33    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 server.py:448(<setcomp>)
        4    0.000    0.000    0.000    0.000 server.py:537(<listcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:416(close)
        8    0.000    0.000    0.000    0.000 server.py:121(__init__)
        1    0.000    0.000    0.000    0.000 server.py:309(<listcomp>)
        3    0.000    0.000    0.000    0.000 random.py:174(randrange)
        3    0.000    0.000    0.000    0.000 server.py:516(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 server.py:319(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:471(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 server.py:324(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:352(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 server.py:452(<listcomp>)
        1    0.000    0.000    0.000    0.000 server.py:473(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 server.py:475(<listcomp>)


